,group,variable,value
0,0 - .5k,Aroma,7.5
1,.5k - 1k,Aroma,7.5
2,1k - 1.5k,Aroma,7.5
3,1.5k - 2k,Aroma,7.7
4,2k - 2.5k,Aroma,8.0
5,2.5k - 3k,Aroma,8.0
6,3k - 3.5k,Aroma,7.5
7,3.5k - 4k,Aroma,7.1
8,4k - 4.5k,Aroma,7.4
9,0 - .5k,Flavor,7.5
10,.5k - 1k,Flavor,7.5
11,1k - 1.5k,Flavor,7.5
12,1.5k - 2k,Flavor,7.6
13,2k - 2.5k,Flavor,8.1
14,2.5k - 3k,Flavor,7.7
15,3k - 3.5k,Flavor,7.5
16,3.5k - 4k,Flavor,7.4
17,4k - 4.5k,Flavor,7.3
18,0 - .5k,Aftertaste,7.4
19,.5k - 1k,Aftertaste,7.4
20,1k - 1.5k,Aftertaste,7.3
21,1.5k - 2k,Aftertaste,7.5
22,2k - 2.5k,Aftertaste,8.0
23,2.5k - 3k,Aftertaste,7.6
24,3k - 3.5k,Aftertaste,7.4
25,3.5k - 4k,Aftertaste,7.1
26,4k - 4.5k,Aftertaste,7.3
27,0 - .5k,Acidity,7.4
28,.5k - 1k,Acidity,7.5
29,1k - 1.5k,Acidity,7.5
30,1.5k - 2k,Acidity,7.6
31,2k - 2.5k,Acidity,8.1
32,2.5k - 3k,Acidity,7.8
33,3k - 3.5k,Acidity,7.2
34,3.5k - 4k,Acidity,7.5
35,4k - 4.5k,Acidity,7.2
36,0 - .5k,Body,7.5
37,.5k - 1k,Body,7.5
38,1k - 1.5k,Body,7.5
39,1.5k - 2k,Body,7.6
40,2k - 2.5k,Body,8.0
41,2.5k - 3k,Body,7.8
42,3k - 3.5k,Body,7.6
43,3.5k - 4k,Body,7.4
44,4k - 4.5k,Body,7.2
45,0 - .5k,Balance,7.5
46,.5k - 1k,Balance,7.4
47,1k - 1.5k,Balance,7.4
48,1.5k - 2k,Balance,7.6
49,2k - 2.5k,Balance,7.9
50,2.5k - 3k,Balance,7.8
51,3k - 3.5k,Balance,7.4
52,3.5k - 4k,Balance,7.2
53,4k - 4.5k,Balance,7.3
54,0 - .5k,Cupper.Points,7.6
55,.5k - 1k,Cupper.Points,7.4
56,1k - 1.5k,Cupper.Points,7.4
57,1.5k - 2k,Cupper.Points,7.6
58,2k - 2.5k,Cupper.Points,8.1
59,2.5k - 3k,Cupper.Points,7.7
60,3k - 3.5k,Cupper.Points,7.5
61,3.5k - 4k,Cupper.Points,7.2
62,4k - 4.5k,Cupper.Points,7.3
63,0 - .5k,Total Score,7.5
64,.5k - 1k,Total Score,7.4
65,1k - 1.5k,Total Score,7.4
66,1.5k - 2k,Total Score,7.6
67,2k - 2.5k,Total Score,8.0
68,2.5k - 3k,Total Score,7.8
69,3k - 3.5k,Total Score,7.3
70,3.5k - 4k,Total Score,7.3
71,4k - 4.5k,Total Score,7.3
